#------------------------------------------------------
# Timeseries retrieved from the MATROOS series database
# Created at Sun Aug 28 21:37:27 CEST 2022
#------------------------------------------------------
# Location    : Hoek van Holland
# Position    : (4.120131,51.978539)
# Source      : observed
# Unit        : waterlevel
# Analyse time: 000000000000
# Timezone    : GMT
#------------------------------------------------------
202208280000   -0.3900
202208280010   -0.3200
202208280020   -0.2500
202208280030   -0.1500
202208280040   -0.0500
202208280050   0.0800
202208280100   0.2500
202208280110   0.4200
202208280120   0.6100
202208280130   0.8100
202208280140   0.9600
202208280150   1.0900
202208280200   1.2000
202208280210   1.2400
202208280220   1.2400
202208280230   1.2100
202208280240   1.1400
202208280250   1.0900
202208280300   1.0500
202208280310   1.0000
202208280320   0.9800
202208280330   0.9800
202208280340   0.9500
202208280350   0.9400
202208280400   0.9100
202208280410   0.8600
202208280420   0.8200
202208280430   0.7600
202208280440   0.6800
202208280450   0.6200
202208280500   0.5400
202208280510   0.4600
202208280520   0.3800
202208280530   0.3000
202208280540   0.2000
202208280550   0.1100
202208280600   0.0100
202208280610   -0.0900
202208280620   -0.1800
202208280630   -0.2700
202208280640   -0.3400
202208280650   -0.4000
202208280700   -0.4600
202208280710   -0.5000
202208280720   -0.5200
202208280730   -0.5300
202208280740   -0.5300
202208280750   -0.5200
202208280800   -0.4900
202208280810   -0.4700
202208280820   -0.4400
202208280830   -0.4300
202208280840   -0.4300
202208280850   -0.4300
202208280900   -0.4300
202208280910   -0.4300
202208280920   -0.4400
202208280930   -0.4600
202208280940   -0.4600
202208280950   -0.4600
202208281000   -0.4400
202208281010   -0.4400
202208281020   -0.4300
202208281030   -0.4200
202208281040   -0.4100
202208281050   -0.4100
202208281100   -0.4100
202208281110   -0.4000
202208281120   -0.3900
202208281130   -0.3900
202208281140   -0.3800
202208281150   -0.3500
202208281200   -0.3200
202208281210   -0.2900
202208281220   -0.2600
202208281230   -0.2200
202208281240   -0.1700
202208281250   -0.1200
202208281300   -0.0400
202208281310   0.0400
202208281320   0.1500
202208281330   0.2800
202208281340   0.4400
202208281350   0.5900
202208281400   0.7600
202208281410   0.9000
202208281420   1.0000
202208281430   1.0700
202208281440   1.1100
202208281450   1.1000
202208281500   1.0700
202208281510   1.0300
202208281520   0.9800
202208281530   0.9400
202208281540   0.9000
202208281550   0.8700
202208281600   0.8400
202208281610   0.8200
202208281620   0.7800
202208281630   0.7300
202208281640   0.6800
202208281650   0.6000
202208281700   0.5200
202208281710   0.4400
202208281720   0.3400
202208281730   0.2400
202208281740   0.1500
202208281750   0.0300
202208281800   -0.0600
202208281810   -0.1800
202208281820   -0.3000
202208281830   -0.4000
202208281840   -0.5000
202208281850   -0.5900
202208281900   -0.6700
202208281910   -0.7400
